"","week_diff","n"
"1",-935,1
"2",-904,1
"3",-895,1
"4",-890,1
"5",-888,1
"6",-861,1
"7",-854,1
"8",-846,1
"9",-845,2
"10",-843,1
"11",-842,1
"12",-834,1
"13",-830,1
"14",-826,1
"15",-825,2
"16",-823,1
"17",-817,1
"18",-811,1
"19",-810,1
"20",-809,1
"21",-803,1
"22",-801,1
"23",-799,1
"24",-797,1
"25",-792,2
"26",-790,2
"27",-788,1
"28",-780,1
"29",-779,2
"30",-777,1
"31",-775,1
"32",-774,4
"33",-770,1
"34",-769,1
"35",-768,1
"36",-767,1
"37",-764,1
"38",-762,1
"39",-761,2
"40",-759,1
"41",-758,1
"42",-757,1
"43",-756,1
"44",-755,1
"45",-754,1
"46",-752,1
"47",-749,4
"48",-747,1
"49",-746,1
"50",-741,2
"51",-740,1
"52",-737,1
"53",-736,2
"54",-734,1
"55",-733,1
"56",-732,2
"57",-731,3
"58",-729,2
"59",-726,1
"60",-725,2
"61",-724,1
"62",-722,1
"63",-720,2
"64",-719,1
"65",-717,1
"66",-713,3
"67",-712,2
"68",-711,1
"69",-709,1
"70",-708,2
"71",-707,3
"72",-706,1
"73",-704,1
"74",-702,1
"75",-701,4
"76",-700,3
"77",-697,1
"78",-694,1
"79",-693,2
"80",-692,2
"81",-691,1
"82",-689,1
"83",-688,1
"84",-684,2
"85",-677,2
"86",-676,1
"87",-675,1
"88",-672,5
"89",-670,3
"90",-669,2
"91",-667,1
"92",-666,1
"93",-665,3
"94",-663,1
"95",-662,1
"96",-659,1
"97",-658,1
"98",-656,3
"99",-655,1
"100",-654,3
"101",-651,1
"102",-650,2
"103",-649,1
"104",-647,1
"105",-645,1
"106",-643,2
"107",-642,1
"108",-641,3
"109",-640,1
"110",-638,2
"111",-637,1
"112",-636,3
"113",-633,1
"114",-632,2
"115",-631,3
"116",-630,2
"117",-628,1
"118",-627,1
"119",-626,2
"120",-625,1
"121",-623,2
"122",-622,3
"123",-616,1
"124",-615,2
"125",-612,1
"126",-611,1
